CpGlist_best,n,Set,CHROM,MapInfo,Match,diff
NC_047155.1.30751668,66,Age4to29,NC_047155.1,30751668,N,49
NC_047157.1.604941,56,Age4to29,NC_047157.1,604941,N,
NC_047159.1.29159906,25,Age4to29,NC_047159.1,29159906,N,
NC_047159.1.29160008,24,Age4to29,NC_047159.1,29160008,N,102
NC_047159.1.29163394,34,OldSites,NC_047159.1,29163394,N,3386
NC_047159.1.29163729,47,OldSites,NC_047159.1,29163729,N,335
NC_047159.1.29165067,25,OldSites,NC_047159.1,29165067,N,1338
NC_047159.1.29165076,30,OldSites,NC_047159.1,29165076,N,9
NC_047159.1.29165763,31,Age4to15,NC_047159.1,29165763,N,687
NC_047159.1.29166055,29,OldSites,NC_047159.1,29166055,N,292
NC_047159.1.29166056,66,Age4to15,NC_047159.1,29166056,N,1
NC_047159.1.29170063,24,Age4to29,NC_047159.1,29170063,N,4007
NC_047161.1.22177668,26,Age4to29,NC_047161.1,22177668,N,
NC_047161.1.22184064,22,OldSites,NC_047161.1,22184064,N,6396
NC_047161.1.22201614,44,Age4to29,NC_047161.1,22201614,N,17550
NC_047163.1.18713047,32,Age4to29,NC_047163.1,18713047,N,
NC_047163.1.29031803,33,Age4to15,NC_047163.1,29031803,N,10318756
NC_047163.1.29069872,25,Age4to15,NC_047163.1,29069872,N,38069
NC_047164.1.2171775,30,Age4to29,NC_047164.1,2171775,N,
NC_047164.1.2171813,36,Age4to29,NC_047164.1,2171813,N,38
NC_047165.1.906817,24,Age4to15,NC_047165.1,906817,N,
NC_047165.1.906821,27,Age4to15,NC_047165.1,906821,N,4
NC_047165.1.910853,29,Age4to29,NC_047165.1,910853,N,4032
NC_047165.1.912025,23,OldSites,NC_047165.1,912025,N,1172
NC_047165.1.912498,50,Age4to15,NC_047165.1,912498,N,473
NC_047165.1.912711,27,Age4to15,NC_047165.1,912711,N,213
NC_047165.1.15408994,29,Age4to15,NC_047165.1,15408994,N,14496283
NC_047165.1.15412284,37,OldSites,NC_047165.1,15412284,N,3290
NC_047165.1.15412428,44,Age4to29,NC_047165.1,15412428,N,144
NC_047167.1.11015433,50,OldSites,NC_047167.1,11015433,N,
NC_047167.1.11015458,40,Age4to15,NC_047167.1,11015458,N,25
NC_047169.1.16885311,50,Age4to29,NC_047169.1,16885311,N,
NC_047170.1.1363,22,Age4to29,NC_047170.1,1363,N,
NC_047170.1.1435,42,Age4to29,NC_047170.1,1435,N,72
NC_047170.1.1470,57,Age4to29,NC_047170.1,1470,N,35
NC_047170.1.1540,28,Age4to29,NC_047170.1,1540,N,70
NC_047171.1.2287136,26,Age4to15,NC_047171.1,2287136,N,
NC_047171.1.15408463,46,Age4to15,NC_047171.1,15408463,N,13121327
NC_047171.1.15408567,23,OldSites,NC_047171.1,15408567,N,104
NC_047171.1.15409282,26,OldSites,NC_047171.1,15409282,N,715
NC_047171.1.25040377,22,OldSites,NC_047171.1,25040377,N,9631095
NC_047172.1.26288943,21,Age4to29,NC_047172.1,26288943,N,
NC_047172.1.26289238,27,Age4to15,NC_047172.1,26289238,N,295
NC_047172.1.26293982,31,Age4to29,NC_047172.1,26293982,N,4744
NC_047172.1.26294006,31,Age4to29,NC_047172.1,26294006,N,24
NC_047172.1.26294605,23,Age4to15,NC_047172.1,26294605,N,599
NC_047172.1.26300329,23,OldSites,NC_047172.1,26300329,N,5724
NC_047172.1.26303009,51,Age4to29,NC_047172.1,26303009,N,2680
NC_047172.1.26303344,23,Age4to15,NC_047172.1,26303344,N,335
NC_047172.1.26305253,74,Age4to29,NC_047172.1,26305253,N,1909
NC_047172.1.26306691,37,Age4to15,NC_047172.1,26306691,N,1438
NC_047172.1.26306698,45,OldSites,NC_047172.1,26306698,N,7
NC_047172.1.26307362,27,OldSites,NC_047172.1,26307362,N,664
NC_047172.1.26308364,46,Age4to29,NC_047172.1,26308364,N,1002
NC_047174.1.21421469,34,Age4to15,NC_047174.1,21421469,N,
NC_047174.1.21422892,27,Age4to29,NC_047174.1,21422892,N,1423
NC_047174.1.21425138,43,Age4to29,NC_047174.1,21425138,N,2246
NC_047174.1.21428354,36,Age4to29,NC_047174.1,21428354,N,3216
NC_047174.1.21429982,41,OldSites,NC_047174.1,21429982,N,1628
NC_047174.1.21430656,26,OldSites,NC_047174.1,21430656,N,674
NC_047174.1.21431948,48,Age4to29,NC_047174.1,21431948,N,1292
NC_047174.1.21435010,37,Age4to15,NC_047174.1,21435010,N,3062
NC_047151.1.45,53,Age4to15,NC_047151.1,45,Y,0
NC_047151.1.45,29,OldSites,NC_047151.1,45,Y,0
NC_047151.1.51,32,Age4to15,NC_047151.1,51,Y,6
NC_047151.1.51,88,Age4to29,NC_047151.1,51,Y,0
NC_047151.1.51,33,OldSites,NC_047151.1,51,Y,0
NC_047151.1.3735,27,Age4to15,NC_047151.1,3735,Y,3684
NC_047151.1.3735,91,Age4to29,NC_047151.1,3735,Y,0
NC_047151.1.4742,60,Age4to15,NC_047151.1,4742,Y,1007
NC_047151.1.4742,47,OldSites,NC_047151.1,4742,Y,0
NC_047151.1.5724,71,Age4to15,NC_047151.1,5724,Y,982
NC_047151.1.5724,86,OldSites,NC_047151.1,5724,Y,0
NC_047151.1.6425,22,Age4to29,NC_047151.1,6425,Y,701
NC_047151.1.6425,69,OldSites,NC_047151.1,6425,Y,0
NC_047151.1.6754,25,Age4to15,NC_047151.1,6754,Y,329
NC_047151.1.6754,44,OldSites,NC_047151.1,6754,Y,0
NC_047151.1.7401,30,Age4to15,NC_047151.1,7401,Y,647
NC_047151.1.7401,87,OldSites,NC_047151.1,7401,Y,0
NC_047151.1.9078,74,Age4to15,NC_047151.1,9078,Y,1677
NC_047151.1.9078,77,OldSites,NC_047151.1,9078,Y,0
NC_047151.1.10551,73,Age4to15,NC_047151.1,10551,Y,1473
NC_047151.1.10551,91,Age4to15,NC_047151.1,10551,Y,0
NC_047151.1.10551,56,Age4to29,NC_047151.1,10551,Y,0
NC_047151.1.10551,43,OldSites,NC_047151.1,10551,Y,0
NC_047151.1.10551,89,OldSites,NC_047151.1,10551,Y,0
NC_047151.1.10785,34,Age4to15,NC_047151.1,10785,Y,234
NC_047151.1.10785,83,Age4to29,NC_047151.1,10785,Y,0
NC_047151.1.14473,53,Age4to15,NC_047151.1,14473,Y,3688
NC_047151.1.14473,39,OldSites,NC_047151.1,14473,Y,0
NC_047151.1.15136,52,Age4to15,NC_047151.1,15136,Y,663
NC_047151.1.15136,52,OldSites,NC_047151.1,15136,Y,0
NC_047151.1.15471,99,Age4to15,NC_047151.1,15471,Y,335
NC_047151.1.15471,100,OldSites,NC_047151.1,15471,Y,0
NC_047152.1.11751,32,Age4to15,NC_047152.1,11751,Y,
NC_047152.1.11751,31,Age4to29,NC_047152.1,11751,Y,0
NC_047153.1.32663340,83,Age4to15,NC_047153.1,32663340,Y,
NC_047153.1.32663340,28,OldSites,NC_047153.1,32663340,Y,0
NC_047153.1.32663347,47,Age4to15,NC_047153.1,32663347,Y,7
NC_047153.1.32663347,68,OldSites,NC_047153.1,32663347,Y,0
NC_047153.1.32664060,43,Age4to15,NC_047153.1,32664060,Y,713
NC_047153.1.32664060,51,Age4to29,NC_047153.1,32664060,Y,0
NC_047153.1.32664060,28,OldSites,NC_047153.1,32664060,Y,0
NC_047153.1.32666785,63,Age4to15,NC_047153.1,32666785,Y,2725
NC_047153.1.32666785,43,Age4to29,NC_047153.1,32666785,Y,0
NC_047153.1.32666785,44,OldSites,NC_047153.1,32666785,Y,0
NC_047153.1.32668700,23,Age4to15,NC_047153.1,32668700,Y,1915
NC_047153.1.32668700,52,OldSites,NC_047153.1,32668700,Y,0
NC_047153.1.32669737,23,Age4to15,NC_047153.1,32669737,Y,1037
NC_047153.1.32669737,61,OldSites,NC_047153.1,32669737,Y,0
NC_047153.1.32669799,34,Age4to15,NC_047153.1,32669799,Y,62
NC_047153.1.32669799,23,Age4to29,NC_047153.1,32669799,Y,0
NC_047153.1.32669800,85,Age4to15,NC_047153.1,32669800,Y,1
NC_047153.1.32669800,86,Age4to29,NC_047153.1,32669800,Y,0
NC_047153.1.32669800,63,OldSites,NC_047153.1,32669800,Y,0
NC_047153.1.32671095,40,Age4to15,NC_047153.1,32671095,Y,1295
NC_047153.1.32671095,35,OldSites,NC_047153.1,32671095,Y,0
NC_047155.1.30744495,52,Age4to15,NC_047155.1,30744495,Y,
NC_047155.1.30744495,37,OldSites,NC_047155.1,30744495,Y,0
NC_047155.1.30745713,70,Age4to15,NC_047155.1,30745713,Y,1218
NC_047155.1.30745713,63,OldSites,NC_047155.1,30745713,Y,0
NC_047155.1.30745806,26,Age4to15,NC_047155.1,30745806,Y,93
NC_047155.1.30745806,22,Age4to29,NC_047155.1,30745806,Y,0
NC_047155.1.30745807,64,Age4to15,NC_047155.1,30745807,Y,1
NC_047155.1.30745807,93,OldSites,NC_047155.1,30745807,Y,0
NC_047155.1.30747359,38,Age4to29,NC_047155.1,30747359,Y,1552
NC_047155.1.30747359,52,OldSites,NC_047155.1,30747359,Y,0
NC_047155.1.30747622,28,Age4to15,NC_047155.1,30747622,Y,263
NC_047155.1.30747622,41,OldSites,NC_047155.1,30747622,Y,0
NC_047155.1.30749276,23,Age4to15,NC_047155.1,30749276,Y,1654
NC_047155.1.30749276,26,OldSites,NC_047155.1,30749276,Y,0
NC_047155.1.30750514,22,Age4to29,NC_047155.1,30750514,Y,1238
NC_047155.1.30750614,49,Age4to29,NC_047155.1,30750614,Y,100
NC_047155.1.30750956,40,Age4to15,NC_047155.1,30750956,Y,342
NC_047155.1.30750956,26,OldSites,NC_047155.1,30750956,Y,0
NC_047159.1.29162690,23,Age4to15,NC_047159.1,29162690,Y,
NC_047159.1.29162690,22,OldSites,NC_047159.1,29162690,Y,0
NC_047161.1.22178599,29,Age4to15,NC_047161.1,22178599,Y,
NC_047161.1.22178599,30,OldSites,NC_047161.1,22178599,Y,0
NC_047163.1.21495116,57,Age4to15,NC_047163.1,21495116,Y,
NC_047163.1.21495116,49,OldSites,NC_047163.1,21495116,Y,0
NC_047163.1.29066999,43,Age4to15,NC_047163.1,29066999,Y,7571883
NC_047163.1.29066999,58,OldSites,NC_047163.1,29066999,Y,0
NC_047163.1.29069978,22,Age4to15,NC_047163.1,29069978,Y,2979
NC_047163.1.29069978,31,OldSites,NC_047163.1,29069978,Y,0
NC_047163.1.29070020,91,Age4to15,NC_047163.1,29070020,Y,42
NC_047163.1.29070020,64,OldSites,NC_047163.1,29070020,Y,0
NC_047164.1.24801420,66,Age4to15,NC_047164.1,24801420,Y,
NC_047164.1.24801420,31,Age4to29,NC_047164.1,24801420,Y,0
NC_047164.1.24801420,44,OldSites,NC_047164.1,24801420,Y,0
NC_047165.1.908834,30,Age4to15,NC_047165.1,908834,Y,
NC_047165.1.908834,27,OldSites,NC_047165.1,908834,Y,0
NC_047165.1.15411811,30,Age4to15,NC_047165.1,15411811,Y,14502977
NC_047165.1.15411811,23,OldSites,NC_047165.1,15411811,Y,0
NC_047165.1.15411905,36,Age4to15,NC_047165.1,15411905,Y,94
NC_047165.1.15411905,25,OldSites,NC_047165.1,15411905,Y,0
NC_047168.1.480431,41,Age4to15,NC_047168.1,480431,Y,
NC_047168.1.480431,46,Age4to29,NC_047168.1,480431,Y,0
NC_047168.1.480431,53,OldSites,NC_047168.1,480431,Y,0
NC_047171.1.15409738,69,Age4to15,NC_047171.1,15409738,Y,
NC_047171.1.15409738,29,OldSites,NC_047171.1,15409738,Y,0
NC_047171.1.25040373,86,Age4to15,NC_047171.1,25040373,Y,9630635
NC_047171.1.25040373,83,OldSites,NC_047171.1,25040373,Y,0
NC_047171.1.25040474,25,Age4to15,NC_047171.1,25040474,Y,101
NC_047171.1.25040474,40,OldSites,NC_047171.1,25040474,Y,0
NC_047171.1.25040623,27,Age4to15,NC_047171.1,25040623,Y,149
NC_047171.1.25040623,33,OldSites,NC_047171.1,25040623,Y,0
NC_047172.1.24804623,49,Age4to15,NC_047172.1,24804623,Y,
NC_047172.1.24804623,46,OldSites,NC_047172.1,24804623,Y,0
NC_047172.1.24835778,30,Age4to15,NC_047172.1,24835778,Y,31155
NC_047172.1.24835778,27,OldSites,NC_047172.1,24835778,Y,0
NC_047172.1.24895667,71,Age4to15,NC_047172.1,24895667,Y,59889
NC_047172.1.24895667,54,OldSites,NC_047172.1,24895667,Y,0
NC_047172.1.26290161,82,Age4to15,NC_047172.1,26290161,Y,1394494
NC_047172.1.26290161,65,OldSites,NC_047172.1,26290161,Y,0
NC_047172.1.26290162,24,Age4to15,NC_047172.1,26290162,Y,1
NC_047172.1.26290162,34,OldSites,NC_047172.1,26290162,Y,0
NC_047172.1.26293714,59,Age4to29,NC_047172.1,26293714,Y,3552
NC_047172.1.26293714,99,Age4to29,NC_047172.1,26293714,Y,0
NC_047172.1.26299324,22,Age4to15,NC_047172.1,26299324,Y,5610
NC_047172.1.26299324,37,OldSites,NC_047172.1,26299324,Y,0
NC_047172.1.26300378,32,Age4to29,NC_047172.1,26300378,Y,1054
NC_047172.1.26300378,47,OldSites,NC_047172.1,26300378,Y,0
NC_047172.1.26301048,32,Age4to15,NC_047172.1,26301048,Y,670
NC_047172.1.26301048,47,OldSites,NC_047172.1,26301048,Y,0
NC_047172.1.26302348,22,OldSites,NC_047172.1,26302348,Y,1300
NC_047172.1.26305026,50,Age4to15,NC_047172.1,26305026,Y,2678
NC_047172.1.26305026,69,OldSites,NC_047172.1,26305026,Y,0
NC_047172.1.26305360,63,Age4to15,NC_047172.1,26305360,Y,334
NC_047172.1.26305360,81,Age4to29,NC_047172.1,26305360,Y,0
NC_047172.1.26306357,38,Age4to15,NC_047172.1,26306357,Y,997
NC_047172.1.26306357,51,OldSites,NC_047172.1,26306357,Y,0
NC_047172.1.26307361,34,Age4to15,NC_047172.1,26307361,Y,1004
NC_047172.1.26307361,82,Age4to29,NC_047172.1,26307361,Y,0
NC_047172.1.26309369,39,Age4to15,NC_047172.1,26309369,Y,2008
NC_047172.1.26309369,27,OldSites,NC_047172.1,26309369,Y,0
NC_047172.1.26311042,68,Age4to15,NC_047172.1,26311042,Y,1673
NC_047172.1.26311042,60,OldSites,NC_047172.1,26311042,Y,0
NC_047172.1.26311377,22,Age4to15,NC_047172.1,26311377,Y,335
NC_047172.1.26311377,40,OldSites,NC_047172.1,26311377,Y,0
NC_047174.1.21423903,40,Age4to15,NC_047174.1,21423903,Y,
NC_047174.1.21423903,73,Age4to29,NC_047174.1,21423903,Y,0
NC_047174.1.21423903,96,OldSites,NC_047174.1,21423903,Y,0
NC_047174.1.21427009,46,Age4to15,NC_047174.1,21427009,Y,3106
NC_047174.1.21427009,41,Age4to29,NC_047174.1,21427009,Y,0
NC_047174.1.21427009,49,OldSites,NC_047174.1,21427009,Y,0
NC_047174.1.21430655,45,Age4to15,NC_047174.1,21430655,Y,3646
NC_047174.1.21430655,39,Age4to29,NC_047174.1,21430655,Y,0
NC_047174.1.21431627,37,Age4to15,NC_047174.1,21431627,Y,972
NC_047174.1.21431627,57,OldSites,NC_047174.1,21431627,Y,0
NC_047174.1.21434992,25,Age4to15,NC_047174.1,21434992,Y,3365
NC_047174.1.21434992,38,OldSites,NC_047174.1,21434992,Y,0
NC_047174.1.21435011,79,Age4to15,NC_047174.1,21435011,Y,19
NC_047174.1.21435011,55,OldSites,NC_047174.1,21435011,Y,0
NC_047174.1.21435055,38,Age4to15,NC_047174.1,21435055,Y,44
NC_047174.1.21435055,35,Age4to29,NC_047174.1,21435055,Y,0
NC_047174.1.21435055,62,OldSites,NC_047174.1,21435055,Y,0
NC_047174.1.21435056,70,Age4to15,NC_047174.1,21435056,Y,1
NC_047174.1.21435056,93,OldSites,NC_047174.1,21435056,Y,0
