CpGlist_best,CHROM,POS,ModelType,AgeRange,Region,DataSet
NC_047172.1.26308364,NC_047172.1,26308364,Age,Age4to29,26,Combined
NC_047172.1.26309369,NC_047172.1,26309369,Length,Age4to15,26,Combined
NC_047172.1.26311042,NC_047172.1,26311042,Length,Age4to15,26,Combined
NC_047172.1.26311377,NC_047172.1,26311377,Length,Age4to15,26,Combined
NC_047174.1.21421469,NC_047174.1,21421469,Length,Age4to15,27,Combined
NC_047174.1.21422892,NC_047174.1,21422892,Length,Age4to29,27,Combined
NC_047174.1.21423903,NC_047174.1,21423903,Length,Both,27,Combined
NC_047174.1.21425138,NC_047174.1,21425138,Length,Age4to29,27,Combined
NC_047174.1.21427009,NC_047174.1,21427009,Length,Both,27,Combined
NC_047174.1.21428354,NC_047174.1,21428354,Length,Age4to29,27,Combined
NC_047174.1.21430655,NC_047174.1,21430655,Age,Both,27,Combined
NC_047174.1.21431627,NC_047174.1,21431627,Length,Age4to15,27,Combined
NC_047174.1.21431948,NC_047174.1,21431948,Age,Age4to29,27,Combined
NC_047174.1.21434992,NC_047174.1,21434992,Age,Age4to15,27,Combined
NC_047174.1.21435010,NC_047174.1,21435010,Age,Age4to15,27,Combined
NC_047174.1.21435011,NC_047174.1,21435011,Length,Age4to15,27,Combined
NC_047174.1.21435055,NC_047174.1,21435055,Both,Both,27,Combined
NC_047174.1.21435056,NC_047174.1,21435056,Length,Age4to15,27,Combined
